unique_id;station;station_new;Transect;depth;pressure;t190C;sal00;sbeox0ML/L;sigma;Cruise;Lat ;Lon;Bot.Depth [m];Nitrate;Phosphate;Silicate;Distance_from_shore;Profile feature;HPLC_ID;Microscopy ID;Flow cyt phyto ID;Diatoms;Dinoflagellates;Cryptophytes;Pelagophytes;T4haptophytes;Prasinophytes;Chlorophytes;Synechococcus;Chl_c3;Peri;19-But;Fuco;Neox;Pras;Viola;Asta;Allox;Zea;Lut;Chl_b;div_Chl_a;Chl_a
1_10;1;T1_6;Transect 1;15;15.11477;19.2129;35.064;3.07278;25.0199;MSM80;-8.499;-80.999;6229;6.287;0.707;0.688;230;Surface;1;1;1;19.94931221;30.87544441;1.443731546;19.30435944;17.30040741;52.42883301;13.44127274;57.1605072;12.7364;9.1896;21.6364;12.8288;5.4911;0;6.1597;4.1515;0;35.8423;8.7281;50.0274;5.9949;211.9039
4_10;4;T1_5;Transect 1;10;10.0606;23.2687;35.1948;4.34574;24.0041;MSM80;-8.516;-80.493;1328;7.953;0.731;2.804;175;Surface;7;4;7;0;0;0.884536862;13.14413834;22.39953804;26.86198807;8.829807281;193.4736481;16.7959;6.4129;17.933;16.9898;3.6527;0;5.5703;3.3945;1.5509;137.5282;6.9679;33.2197;33.0294;265.5937
7_10;7;T1_4;Transect 1;10;10.09233;23.1129;34.9604;4.57966;23.87;MSM80;-8.499;-80.031;356;11.449;0.941;3.923;120;Surface;16;7;15;0;0;0;23.96551704;28.60758781;37.91830444;4.603029728;312.9027405;30.4458;5.2353;36.3878;26.4666;6.683;0;5.9701;6.8484;6.1401;234.3422;7.8216;51.2425;44.8819;407.9972
10_10;10;T1_3;Transect 1;10;10.08151;21.3456;35.044;5.03122;24.4316;MSM80;-8.499;-79.667;101;6.06;0.682;2.497;80;Surface and Chla max;22;10;21;665.9952393;10.49699783;69.4960022;10.07588482;41.69308853;123.9413223;6.286966324;27.92681885;26.9851;52.2579;14.6776;470.7701;15.073;30.3119;15.8146;19.2731;14.8859;23.6878;6.874;127.6335;0;955.9123
13_20;13;T1_2;Transect 1;20;20.11289;18.8146;35.0082;2.48141;25.0707;MSM80;-8.5;-79.334;77;18.806;1.438;8.793;48;Base ML;30;14;28;975.4815674;5.359006405;74.87117767;15.24941635;129.6098022;31.76584816;4.259750843;0;79.2391;72.0493;24.4892;708.5822;2.6647;10.9719;4.1777;10.6175;16.6751;0;4.6916;34.0114;4.5432;1236.5965
14_15;14;T1_1;Transect 1;15;15.11477;19.2129;35.064;3.07278;25.0199;MSM80;-8.499;-79.167;64;16.406;1.256;4.749;25;No mixed layer;34;NA;32;6390.320801;57.51067734;240.0667267;9.649618149;451.5437012;95.70085907;10.98441029;38.22591782;251.7032;202.15;26.9165;4233.1134;9.3266;20.4249;19.6407;32.8511;49.7907;30.0457;9.6056;96.921;0;7294.0021
18_10;18;T2_5;Transect 2;10;10.08187;22.6049;35.1076;4.49498;24.1289;MSM80;-9.499;-80.003;2423;6.905;0.698;2.949;176;Surface;60;25;56;28.7076416;20.66072083;10.78042889;25.2508812;15.4661665;48.72757339;4.889801025;94.57000732;14.8868;15.17;31.499;24.6586;6.399;6.8209;7.9831;6.9436;2.0606;66.079;3.7463;49.912;19.4366;249.0532
18_20;18;T2_5;Transect 2;20;20.13923;22.6051;35.1079;4.48388;24.1297;MSM80;-9.499;-80.003;2423;6.966;0.703;2.973;176;NA;61;26;57;29.79636765;18.06062889;9.813651085;25.94800186;15.66429901;43.65415955;4.48135376;83.67407227;15.1121;12.2733;32.2476;24.8409;5.2751;6.2077;8.6518;10.1538;1.8406;58.3399;3.225;44.4359;17.3482;231.0925
20_10;20;T2_4;Transect 2;10;NA;NA;35.0954;4.3872;NA;MSM80;-9.499;-79.668;891;6.258;0.633;1.276;140;Middle ML (15 m);66;28;62;19.38412857;30.31301117;10.35224247;26.21655846;31.64081192;22.16922951;1.715409636;16.18594742;20.4265;2.3107;28.5102;12.5572;2.6104;3.0048;3.44;1.3257;1.2429;9.6333;1.0148;18.7046;1.2823;157.9773
20_20;20;T2_4;Transect 2;20;NA;NA;35.1066;4.25218;NA;MSM80;-9.499;-79.668;891;9.831;0.849;3.603;140;NA;67;29;63;81.30915833;122.2155914;38.66145706;65.49251556;167.5791779;123.6677094;1.927626133;22.59358978;91.6162;6.0111;73.1158;54.3937;14.3842;24.7646;12.116;8.3465;4.4144;15.9873;2.2207;101.6219;3.8745;623.4468
